CP,Neighbourhood,Zoning,Borough
76147,San José El Alto,Residential,Queretaro
76238,San José El Alto,Agro-industrial,Queretaro
76027,San José Inn,Residential,Queretaro
76117,San Marcos,Residential,Queretaro
76220,San Miguelito,Agro-industrial,Queretaro
76159,San Pablo,Residential,Queretaro
76125,San Pablo I,Residential,Queretaro
76125,San Pablo II,Residential,Queretaro
76121,San Pablo III,Residential,Queretaro
76121,San Pablo IV,Residential,Queretaro
76150,San Pablo Tecnológico,Residential,Queretaro
76148,San Pedrito Ecológico,Residential,Queretaro
76232,San Pedrito El Alto,Agro-industrial,Queretaro
76148,San Pedrito los Arcos,Residential,Queretaro
76148,San Pedrito Peñuelas I,Residential,Queretaro
76148,San Pedrito Peñuelas II,Residential,Queretaro
76148,San Pedrito Peñuelas III,Residential,Queretaro
76148,San Pedrito Peñuelas IV,Residential,Queretaro
76117,San Pedro Mártir,Residential,Queretaro
76150,San Roque,Residential,Queretaro
76165,San Sebastián,Residential,Queretaro
76157,Santa Catarina,Residential,Queretaro
76223,Santa Catarina,Agro-industrial,Queretaro
76147,Santa Fe,Residential,Queretaro
76137,Santa María,Residential,Queretaro
76138,Santa Mónica 1a Sección,Residential,Queretaro
76138,Santa Mónica 2a Secc,Residential,Queretaro
76220,Santa Rosa de Jauregui,Pueblo,Queretaro
76179,Santiago,Residential,Queretaro
76000,Santiago de Queretaro Centro,Residential,Queretaro
76137,Santo Niño,Residential,Queretaro
76234,Santo Niño de Praga,Agro-industrial,Queretaro
76110,Satélite,Residential,Queretaro
76115,Satélite Fovissste,Residential,Queretaro
76007,Secretaria de Hacienda y Crédito Publico,Gran usuario,Queretaro
76114,Sendero,Commercial,Queretaro
76125,Sergio Villaseñor,Residential,Queretaro
76134,Solidaridad 90,Residential,Queretaro
76158,Tecnológico,Residential,Queretaro
76116,Teotihuacan,Residential,Queretaro
76125,Terrazas de San Pablo,Residential,Queretaro
76069,Texas,Residential,Queretaro
76229,Tlacote El Alto,Agro-industrial,Queretaro
76229,Tlacote El Bajo,Agro-industrial,Queretaro
76121,Tlanese,Residential,Queretaro
76230,Tolimán,Residential,Queretaro
76148,Unidad Nacional,Residential,Queretaro
76087,Unidad Roma,Residential,Queretaro
76085,Unidad Social Queretana,Residential,Queretaro
76085,Unión,Residential,Queretaro
76180,Unión Magisterial,Residential,Queretaro
76028,Universidad,Residential,Queretaro
76085,Universo 200,Residential,Queretaro
76040,Valle Alameda,Residential,Queretaro
76085,Venceremos,Residential,Queretaro
76158,Victoria,Residential,Queretaro
76147,Victoria A Popular,Residential,Queretaro
76148,Villa Fontana,Residential,Queretaro
76206,Villa Jardín,Residential,Queretaro
76178,Villa las Arboledas,Residential,Queretaro
76116,Villas de Guadalupe,Residential,Queretaro
76148,Villas de Santiago,Residential,Queretaro
76226,Villas Del Mesón,Agro-industrial,Queretaro
76063,Villas Del Oriente,Residential,Queretaro
76140,Villas Del Parque,Residential,Queretaro
76087,Villas Del Rincón,Residential,Queretaro
76046,Villas Del Sol,Residential,Queretaro
76040,Villas Del Sur,Residential,Queretaro
76150,Villas Tecnológico,Residential,Queretaro
76078,Villas Valle Alameda,Residential,Queretaro
76140,Vista 2000,Residential,Queretaro
76090,Vista Alegre,Residential,Queretaro
76074,Vista Alegre,Residential,Queretaro
76074,Vista Alegre 2a Secc,Residential,Queretaro
76074,Vista Alegre 3a Secc,Residential,Queretaro
76074,Vista Alegre Maxei,Residential,Queretaro
76087,Vista Azul,Residential,Queretaro
76060,Vista Dorada,Residential,Queretaro
76063,Vista Hermosa,Residential,Queretaro
76085,Vistas Del Cimatorio,Residential,Queretaro
76116,Vistas Del Valle,Residential,Queretaro
76155,Viveros,Residential,Queretaro
76140,Viveros Residential,Residential,Queretaro
76087,Zapata Vive,Residential,Queretaro
76147,12 de Diciembre,Residential,Queretaro
76116,25 de Diciembre,Residential,Queretaro
76160,Álamos 2a Sección,Residential,Queretaro
76160,Álamos 3a Sección,Residential,Queretaro
76113,Alborada,Residential,Queretaro
76085,Altos del Cimatario,Residential,Queretaro
76140,Altos del Marqués 1 y 2 Etapa,Residential,Queretaro
76121,Altos de San Pablo,Residential,Queretaro
76148,Ampliación Amalia Solórzano,Residential,Queretaro
76116,Ampliación Patria Nueva,Residential,Queretaro
76110,Ampliación Satélite,Residential,Queretaro
76180,Anáhuac,Residential,Queretaro
76040,Andalucía Sección Cordova,Residential,Queretaro
76148,Anexo a la Ecólogia,Residential,Queretaro
76144,Anexo Ejido Bolaños,Residential,Queretaro
76093,Ángeles,Residential,Queretaro
76147,Antorchista,Residential,Queretaro
76150,Asalias,Residential,Queretaro
76100,Atenas,Residential,Queretaro
76085,Azteca,Residential,Queretaro
76125,Balcones de San Pablo,Residential,Queretaro
76100,Bleu Casas Platina,Residential,Queretaro
76148,Bosques de Bella Vista,Residential,Queretaro
76148,Bosques de la Hacienda,Residential,Queretaro
76087,Bosques de las Lomas,Residential,Queretaro
76085,Bosques del Cimatario,Residential,Queretaro
76087,Bosques del Cimatario 2a. Sección,Residential,Queretaro
76116,Bugambilias Residential,Residential,Queretaro
76087,Campestre Italiana,Residential,Queretaro
76139,Carrillo,Residential,Queretaro
76179,C.E.A.,Residential,Queretaro
76140,Cedros Alcatraces,Residential,Queretaro
76140,Cedros Tilipanes,Residential,Queretaro
76117,Centenario,Residential,Queretaro
76000,Centro,Residential,Queretaro
76090,Centro Sur,Residential,Queretaro
76017,Centro Universitario (U.A.Q.),Institutional,Queretaro
76116,Che Guevara (Axayacatl),Residential,Queretaro
76116,Chula Vista I,Residential,Queretaro
76116,Chula Vista II,Residential,Queretaro
76116,Ciudad del Sol,Residential,Queretaro
76093,Claustros de la Catedral,Residential,Queretaro
76093,Claustros de la Corregidora 2,Residential,Queretaro
76093,Claustros de la Corregidora I,Residential,Queretaro
76116,Claustros de la Loma,Residential,Queretaro
76093,Claustros de las Misiones,Residential,Queretaro
76093,Claustros del Marques,Residential,Queretaro
76093,Claustros del Sur,Residential,Queretaro
76093,Claustros de Santiago,Residential,Queretaro
76185,Clautros del Campestre,Residential,Queretaro
76190,Club Campestre,Residential,Queretaro
76147,Colinas de Menchaca 2a Sección,Residential,Queretaro
76148,Colinas de San Pablo,Residential,Queretaro
76087,Comerciantes,Residential,Queretaro
76117,Comevi,Residential,Queretaro
76116,Condominio La Cordillera,Residential,Queretaro
76148,Conjunto Belén,Residential,Queretaro
76159,Conjunto Queretaro,Residential,Queretaro
76147,Constituyentes,Residential,Queretaro
76070,Corregidora (Burocrata),Residential,Queretaro
76110,Cosmos (Satelite),Residential,Queretaro
76063,Cuesta Bonita,Residential,Queretaro
76060,Cumbres del Mirador,Residential,Queretaro
76177,Demetrio Vallejo,Residential,Queretaro
76158,Departamental Parques,Residential,Queretaro
76125,Desarrollo San Ángel,Residential,Queretaro
76125,Desarrollo San Pablo,Residential,Queretaro
76147,Diana Laura Rojas,Residential,Queretaro
76100,Dolce Terra,Residential,Queretaro
76118,Eduardo Loarca,Residential,Queretaro
76147,Ejido Menchaca (Los Pinos),Residential,Queretaro
76177,Ejido Modelo,Residential,Queretaro
76113,El Arcángel,Residential,Queretaro
76147,El Arcángel (La Guayina),Residential,Queretaro
76069,El Bosque,Residential,Queretaro
76137,El Chamizal,Residential,Queretaro
76024,El Cortijo II,Residential,Queretaro
76100,El Destino,Residential,Queretaro
76150,El Fenix,Residential,Queretaro
76138,El Higo,Residential,Queretaro
76148,El Jardín,Residential,Queretaro
76085,El Marqués Queretano,Residential,Queretaro
76144,El Pedregal de Queretaro,Residential,Queretaro
76158,El Porvenir,Residential,Queretaro
76138,El Progreso,Residential,Queretaro
76118,El Romerillal,Residential,Queretaro
76113,El Sol Residential,Residential,Queretaro
76118,El Tepeyac,Residential,Queretaro
76147,Enrique Burgos (La Rinconada),Residential,Queretaro
76178,Ensueño,Residential,Queretaro
76147,Epigmenio González (El Oasis),Residential,Queretaro
76116,Eucaliptos,Residential,Queretaro
76134,Ex-Hacienda El Tintero,Residential,Queretaro
76116,Ex-Hacienda Santana,Residential,Queretaro
76150,Felipe Ángeles,Residential,Queretaro
76121,Felipe Ángeles,Residential,Queretaro
76117,Fernando de Tapia,Residential,Queretaro
76137,Ferrocarriles Sección Rinconada Santa Anita,Residential,Queretaro
76197,Fidel Velázquez Sánchez,Residential,Queretaro
76117,Francisco Javier Mina,Residential,Queretaro
76147,Fray Junípero Serra,Residential,Queretaro
76159,Fresnos Condominio 2,Residential,Queretaro
76159,Fresnos Condominio 3,Residential,Queretaro
76159,Fresnos Condominio 4,Residential,Queretaro
76177,Frida Kahlo,Residential,Queretaro
76117,Fundadores,Residential,Queretaro
76177,Galindas Residential,Residential,Queretaro
76150,Géminis,Residential,Queretaro
76147,Generación 2000,Residential,Queretaro
76116,Geo Villas,Residential,Queretaro
76165,Guadalupe Victoria (SAHOP),Residential,Queretaro
76177,Hacienda Galindo,Residential,Queretaro
76185,Hacienda San Miguel,Residential,Queretaro
76100,Hacienda Santa Rosa,Residential,Queretaro
76087,Huertas del Cimatario,Residential,Queretaro
76147,Ignacio Pérez,Residential,Queretaro
76147,Ignacio Zaragoza,Residential,Queretaro
76125,Jardines de Alborada,Residential,Queretaro
76116,Jardines de Azucenas,Residential,Queretaro
76118,Jardines de Jurica,Residential,Queretaro
76148,Jardines del Bosque,Residential,Queretaro
76087,Jardines del Cimatario,Residential,Queretaro
76117,Jardines del Sol,Residential,Queretaro
76147,Jardines de San José,Residential,Queretaro
76147,Jardines de San José 2a. Sección,Residential,Queretaro
76147,Jardines de San José 3a. Sección,Residential,Queretaro
76148,Jardines de Villas de Santiago,Residential,Queretaro
76110,Josefa Ortiz de Domínguez II,Residential,Queretaro
76110,Josefa Ortiz de Domínguez III,Residential,Queretaro
76116,Josefa Ortiz de Domínguez IV,Residential,Queretaro
76125,José María Bustamante,Residential,Queretaro
76137,La Aurora,Residential,Queretaro
76100,La Campana,Residential,Queretaro
76100,La Castellana,Residential,Queretaro
76159,La Cima,Residential,Queretaro
76125,La Condesa,Residential,Queretaro
76069,La Cuesta,Residential,Queretaro
76147,Ladera de San José el Alto Oriente,Residential,Queretaro
76117,Laderas de San Pedro,Residential,Queretaro
76117,La Esmeralda,Residential,Queretaro
76121,La Esperanza,Residential,Queretaro
76069,La Estación 2a. Sección,Residential,Queretaro
76150,La Estación F.F.C.C.,Residential,Queretaro
76116,La Floresta,Residential,Queretaro
76139,La Higuera,Residential,Queretaro
76148,La Ladera,Residential,Queretaro
76147,La Ladera (Menchaca III),Residential,Queretaro
76024,La Peñita,Residential,Queretaro
76150,La Popular,Residential,Queretaro
76148,La Rueca,Residential,Queretaro
76121,Las Américas San Pablo,Residential,Queretaro
76178,La Sandia,Residential,Queretaro
76116,Las Camelinas,Residential,Queretaro
76139,Las Josefinas,Residential,Queretaro
76168,Las Palomas,Residential,Queretaro
76147,La Tinaja,Residential,Queretaro
76125,Latinoamericana,Residential,Queretaro
76177,La Toscana,Residential,Queretaro
76085,La Unión,Residential,Queretaro
76146,La Vista Residential,Residential,Queretaro
76085,Lázaro Cárdenas III,Residential,Queretaro
76118,Leyes de Reforma,Residential,Queretaro
76118,Libertadores,Residential,Queretaro
76147,Lic. Alfredo Estrada Romero,Residential,Queretaro
76087,Linderos del Cimatario,Residential,Queretaro
76118,Loma Bonita 2a. Sección,Residential,Queretaro
76116,Loma IX,Residential,Queretaro
76116,Loma Real,Residential,Queretaro
76080,Lomas de Casa Blanca,Residential,Queretaro
76146,Lomas del Campanario II,Residential,Queretaro
76146,Lomas del Campanario III,Residential,Queretaro
76114,Lomas del Carmen,Residential,Queretaro
76168,Lomas de Lindavista,Residential,Queretaro
76118,Lomas del Pedregal 2a. Sección,Residential,Queretaro
76127,Lomas del Salitre,Residential,Queretaro
76147,Lomas de Mechaca,Residential,Queretaro
76087,Lomas de Pasteur,Residential,Queretaro
76116,Lomas de San Ángel,Residential,Queretaro
76147,Lomas de San José,Residential,Queretaro
76148,Lomas de San Pedrito (Sección Portales),Residential,Queretaro
76110,Lomas de Satélite,Residential,Queretaro
76156,Los Alcanfores Sección Norte,Residential,Queretaro
76150,Los Alcanfores Sección Sur,Residential,Queretaro
76178,Los Ángeles I,Residential,Queretaro
76147,Los Arroyitos,Residential,Queretaro
76114,Los Castaños,Residential,Queretaro
76116,Los Encinos,Residential,Queretaro
76147,Los Huertos,Residential,Queretaro
76190,Los Pilares,Residential,Queretaro
76148,Los Sabinos,Residential,Queretaro
76087,Manantiales del Cimatario,Residential,Queretaro
76005,Mariano Escobedo,Residential,Queretaro
76168,Mega Plaza,Residential,Queretaro
76060,Milenio 3a. Sección,Residential,Queretaro
76146,Miradores,Residential,Queretaro
76125,Misión Bucareli,Residential,Queretaro
76087,Misión Cimatario,Residential,Queretaro
76116,Misión de Carrillo,Residential,Queretaro
76116,Misión de Carrillo II,Residential,Queretaro
76117,Misión Fundadores,Residential,Queretaro
76147,Monarca,Residential,Queretaro
76087,Monte Blanco I,Residential,Queretaro
76087,Monte Blanco II,Residential,Queretaro
76087,Monte Blanco III,Residential,Queretaro
76160,Montecarlo,Residential,Queretaro
76100,Murano,Residential,Queretaro
76164,Nacozari,Residential,Queretaro
76121,Nueva Esperanza,Residential,Queretaro
76148,Nueva Esperanza,Residential,Queretaro
76125,Nuevo Horizonte,Residential,Queretaro
76147,Nuevo Menchaca,Residential,Queretaro
76069,Nuevo Morelos,Residential,Queretaro
76148,Nuevo San Pedrito,Residential,Queretaro
76147,Oasis,Residential,Queretaro
76127,Palmas,Residential,Queretaro
76147,Palmas de San José,Residential,Queretaro
76074,Palomar del Duque,Residential,Queretaro
76080,Papanoa,Residential,Queretaro
76118,Paraíso,Residential,Queretaro
76150,Zona Industrial la Montaña,Industrial Zone,Queretaro
76140,Parque Queretaro 2000,Parks and Recreation,Queretaro
76115,Parque Santiago,Residential,Queretaro
76148,Paseos de la Cuesta,Residential,Queretaro
76148,Paseos del Pedregal,Residential,Queretaro
76118,Paseos de San Miguel,Residential,Queretaro
76116,Patria Nueva,Residential,Queretaro
76117,Pedregal de Buenos Aires,Residential,Queretaro
76087,Pedregal del Cimatario,Residential,Queretaro
76113,Plan Santa María,Residential,Queretaro
76169,Plaza Boulevares,,Queretaro
76059,Plaza de las Américas,,Queretaro
76169,Plaza del Parque,,Queretaro
76099,Plazas del Sol 1a Sección,,Queretaro
76099,Plazas del Sol 2a Sección,,Queretaro
76099,Plazas del Sol 3a Sección,,Queretaro
76087,Prados del Cimatario,Residential,Queretaro
76118,Prados de Loma Bonita,Residential,Queretaro
76117,Prados del Rincón,Residential,Queretaro
76116,Prados del Rincón 2a. Sección,Residential,Queretaro
76087,Prados de Queretaro,Residential,Queretaro
76160,Privada Bugambilias,Residential,Queretaro
76100,Privada de los Portones,Residential,Queretaro
76169,Privada la Laborcilla,Residential,Queretaro
76147,Privalia Ambienta,Residential,Queretaro
76177,Provincia Santa Elena,Residential,Queretaro
76125,Proyección 2000,Residential,Queretaro
76148,Puerta de Belén,Residential,Queretaro
76116,Puerta del Sol,Residential,Queretaro
76114,Puerta del Sol II,Residential,Queretaro
76121,Puesta del Sol,Residential,Queretaro
76125,Punta San Carlos,Residential,Queretaro
76179,Quinta Alicia,Residential,Queretaro
76168,Quinta La Laborcilla,Residential,Queretaro
76134,Rancho Bellavista,Residential,Queretaro
76147,Rancho Menchaca,Residential,Queretaro
76147,Rancho Menchaca (Ex-Hacienda Menchaca),Residential,Queretaro
76147,Rancho Quemado,Residential,Queretaro
76144,Rancho San Antonio,Residential,Queretaro
76113,Rancho San Pedro,Residential,Queretaro
76087,Raquel Trejo Ortiz,Residential,Queretaro
76147,Real de España,Residential,Queretaro
76118,Real del Marques Residential,Residential,Queretaro
76159,Real de San Pablo,Residential,Queretaro
76086,Reforma Agraria 1a Sección,Residential,Queretaro
76147,Renacimiento,Residential,Queretaro
76146,Residential el Refugio,Residential,Queretaro
76177,Residential Gema,Residential,Queretaro
76137,Residential las Fuentes,Residential,Queretaro
76160,Residential Parque del Álamo,Residential,Queretaro
76177,Residential Parque La Gloria,Residential,Queretaro
76118,Revolución,Residential,Queretaro
76147,Rinconada de las Joyas,Residential,Queretaro
76118,Rinconada del Cerrito,Residential,Queretaro
76160,Rinconada de los Alamos,Residential,Queretaro
76036,Rinconada Fray Juan,Residential,Queretaro
76100,Rinconada Jurica,Residential,Queretaro
76005,Rinconada Morelos,Residential,Queretaro
76150,Rinconada San José,Residential,Queretaro
76137,Rinconada Santa Anita,Residential,Queretaro
76085,Rincón del Cimatario,Residential,Queretaro
76148,Rincones del Parque,Residential,Queretaro
76125,Rivera y Tamayo,Residential,Queretaro
76116,Rocio Sanz,Residential,Queretaro
76160,Romy,Residential,Queretaro
76087,San Andrés,Residential,Queretaro
76046,San Joaquín,Residential,Queretaro
76159,San Joaquín,Residential,Queretaro
76137,San José 2a Sección,Residential,Queretaro
76150,San José de la Montaña,Residential,Queretaro
76069,San José de los Perales,Residential,Queretaro
76117,San Marcos I,Residential,Queretaro
76118,San Miguel,Residential,Queretaro
76125,San Pablo I FOVISSSTE,Residential Unit,Queretaro
76125,San Pablo II FOVISSSTE,Residential Unit,Queretaro
76121,San Pablo III (INFONAVIT),Residential Unit,Queretaro
76121,San Pablo IV (INFONAVIT),Residential Unit,Queretaro
76140,San Pedrito Peñuelas,Residential,Queretaro
76113,Santa Isabel,Residential,Queretaro
76137,Santa María Magdalena,Residential,Queretaro
76134,Santa Mónica,Residential,Queretaro
76100,Santa Rosa,Residential,Queretaro
76110,Satélite Sección Andadores,Residential,Queretaro
76110,Satélite Sección Condominios,Residential,Queretaro
76150,Sauces,Residential,Queretaro
76116,Sierra Colorada,Residential,Queretaro
76150,Tecnológico 2000,Residential,Queretaro
76069,Tejas,Residential,Queretaro
76116,Tenochtitlán,Residential,Queretaro
76116,Tenochtitlán II,Residential,Queretaro
76113,Tonatiuh,Residential,Queretaro
76113,Tonatiuh 2a. Sección,Residential,Queretaro
76113,Tonatiuh 3a Sección,Residential,Queretaro
76113,Tonatiuh 4a Sección,Residential,Queretaro
76085,Universo 2000,Residential,Queretaro
76138,Valle del Mezquital,Residential,Queretaro
76125,Valle de San Pablo,Residential,Queretaro
76148,Valle de San Pedrito Peñuelas,Residential,Queretaro
76113,Valle de San Pedro,Residential,Queretaro
76113,Valle de San Pedro 2a Sección,Residential,Queretaro
76116,Valle de Santiago,Residential,Queretaro
76100,Valle Garden,Residential,Queretaro
76137,Valle Real de San Ángel,Residential,Queretaro
76147,Valles de San José,Residential,Queretaro
76005,Vicente Guerrero,Residential,Queretaro
76147,Victoria Popular,Residential,Queretaro
76116,Víctor Iturbe,Residential,Queretaro
76024,Villa Los Arcos,Residential,Queretaro
76177,Villa San Antonio,Residential,Queretaro
76087,Villas del Cimatario,Residential,Queretaro
76030,Villas del Refugio,Residential,Queretaro
76147,Villas de San José,Residential,Queretaro
76118,Villas de San Miguel,Residential,Queretaro
76138,Villas de Santa Mónica,Residential,Queretaro
76148,Villas Fontana,Residential,Queretaro
76146,Villas Palmira,Residential,Queretaro
76070,Vista,Residential,Queretaro
76074,Vista Alegre 3a Sección,Residential,Queretaro
76147,Vistana,Residential,Queretaro
76085,Vistas del Cimatario,Residential,Queretaro
76100,Vive,Residential,Queretaro
76155,Viveros de Queretaro,Residential,Queretaro
76115,Volcanes,Residential,Queretaro
76136,Zona Militar,Institutional,Queretaro