CVE GEO,SOCIOECONOMIC INDEX
2201400011782,Middle
2201400012314,Lower Middle
2201400010657,Lower
2201400012738,Lower Middle
220140001287A,Precarious
2201400013524,Lower
2201401082579,Lower
2201401083327,Lower Middle
2201402363986,Lower
2201401142583,Lower
2201400012329,Lower Middle
2201400010106,Middle
2201400011068,Lower Middle
2201400011157,Middle
2201400011744,Middle
2201400011763,Upper Middle
2201400011903,Lower Middle
2201400011960,Lower Middle
2201400012210,Lower Middle
2201400012263,Upper Middle
2201400012403,Upper Middle
2201400012564,Lower
2201400012899,Middle
2201400013011,Upper lower
2201400013350,Middle
2201400013844,Upper Class
2201400322460,Lower
2201400583755,Upper Class
2201401013685,Lower
2201401073115,Lower
2201400012333,Upper Class
2201400012668,Lower Middle
2201400013613,Lower
2201400010248,Lower Middle
2201400010229,Upper Class
2201400010093,Lower Middle
2201400010125,Lower Middle
2201400010182,Lower Middle
2201401013914,Upper lower
2201400010252,Lower Middle
2201400010267,Upper lower
2201400010271,Lower Middle
220140001038A,Middle
2201400010286,Upper Class
2201400010303,Middle
2201400010318,Middle
2201400010322,Middle
2201400010337,Upper Class
220140001230A,Upper Middle
2201400010445,Upper lower
2201400010341,Upper Middle
2201400010360,Middle
2201400010375,Middle
2201400010394,Middle
2201400010411,Middle
2201400010430,Lower Middle
2201400010464,Upper Class
2201400010479,Upper Class
2201400010483,Lower Middle
2201400010498,Upper Middle
2201400010515,Middle
2201400010549,Highest
2201400010553,Upper Middle
2201400010568,Upper Middle
2201400010572,Upper lower
2201400010587,Lower Middle
2201400010619,Upper Middle
2201400010623,Highest
2201400010638,Upper lower
2201400010642,Lower
2201400010712,Upper lower
2201400010731,Upper lower
2201400010750,Lower
2201400010816,Upper Class
2201400010888,Upper lower
2201400010835,Upper lower
2201400010873,Upper lower
220140001084A,Middle
2201400010869,Upper Middle
2201400010892,Lower Middle
220140001091A,Highest
2201400010924,Upper lower
2201400010958,Upper Middle
2201400010962,Highest
2201400010981,Upper lower
2201400010996,Upper lower
2201400011053,Lower Middle
2201400011087,Middle
2201400011265,Lower Middle
2201400011091,Middle
2201400011119,Lower Middle
2201400011138,Lower Middle
2201400011142,Middle
2201400011212,Upper Middle
2201400011250,Middle
2201400011180,Lower Middle
2201400011195,Lower
2201400011227,Upper Class
2201400011231,Lower Middle
2201400011246,Lower Middle
220140001127A,Middle
2201400011284,Middle
2201400011299,Middle
2201400011316,Middle
2201400011354,Upper lower
2201400011373,Lower
2201400011388,Upper lower
2201400011392,Lower
2201400011405,Lower Middle
2201400011439,Middle
2201400011443,Upper Middle
2201400011458,Upper Middle
2201400011481,Middle
2201400011496,Middle
2201400011509,Lower Middle
2201400011867,Upper Class
2201400011547,Lower
2201400011551,Upper Class
2201400011566,Lower
2201400011570,Upper Class
2201400011617,Highest
220140001166A,Upper lower
2201400011621,Highest
2201400011636,Lower Middle
2201400011655,Middle
2201400011674,Lower Middle
2201400011689,Middle
2201400011693,Lower Middle
2201400011706,Lower Middle
2201400011710,Lower Middle
2201400011725,Upper Class
2201400011941,Lower
220140001173A,Middle
2201400011759,Middle
2201400011778,Upper Middle
2201400011797,Upper Middle
220140001180A,Upper Middle
2201400011829,Upper Middle
2201400011833,Middle
2201400011848,Upper Middle
2201400011852,Upper Class
2201400011871,Middle
2201400011886,Lower Middle
2201400011890,Highest
2201400011918,Lower Middle
2201400011922,Middle
2201400011937,Middle
2201400011956,Lower
2201400011975,Middle
220140001198A,Upper lower
2201400011994,Lower
2201400012009,Upper lower
2201400012013,Lower Middle
2201400012028,Upper lower
2201400012032,Middle
2201400012047,Middle
2201400012051,Lower
2201400012066,Lower
2201400012070,Upper lower
2201400012085,Precarious
220140001209A,Middle
2201400012102,Lower Middle
2201400012117,Middle
2201400012121,Upper lower
2201400012136,Lower Middle
2201400012140,Upper lower
2201400012155,Upper Middle
220140001216A,Lower
2201400012174,Middle
2201400012189,Lower Middle
2201400012193,Lower Middle
2201400012206,Middle
2201400012225,Lower Middle
220140001223A,Upper Middle
2201400012244,Upper Middle
2201400012259,Lower Middle
2201400012297,Upper Middle
2201400012278,Highest
2201400012282,Lower Middle
2201400012348,Middle
2201400012352,Lower Middle
2201400012367,Lower Middle
2201400012371,Upper Middle
2201400012422,Upper Class
2201400012386,Upper Middle
2201400012390,Upper Middle
2201400012418,Upper Class
2201400012437,Lower
2201400012687,Lower
2201400012441,Upper lower
2201400012456,Lower Middle
2201400012600,Upper lower
2201400012672,Lower
2201400012691,Lower
2201400012704,Lower
2201400012719,Lower
2201400012723,Upper lower
2201400012742,Lower Middle
2201400012757,Lower
2201400012761,Middle
2201400012776,Lower Middle
2201400012780,Middle
2201400012831,Lower Middle
2201400012795,Lower Middle
2201400012808,Lower Middle
2201400012812,Middle
2201400012827,Middle
2201400012846,Upper Middle
2201400012850,Upper lower
2201400012865,Upper lower
2201400013632,Middle
2201400012901,Lower Middle
2201400012916,Precarious
2201400012920,Upper lower
220140001294A,Upper lower
2201400012954,Lower
2201400012969,Upper lower
2201400012973,Lower Middle
2201400012988,Lower
2201400012992,Middle
2201400013007,Upper lower
2201400013026,Lower Middle
2201400013030,Lower
2201400013045,Lower Middle
220140001305A,Lower Middle
2201400013172,Lower
2201400013187,Middle
2201400013505,Upper Class
2201400013191,Middle
2201400013204,Lower Middle
2201400013219,Middle
2201400013331,Lower
2201400013346,Middle
2201400013365,Middle
220140001337A,Middle
2201400013384,Middle
2201400013399,Lower Middle
2201400013401,Upper Middle
2201400013416,Lower Middle
2201400013420,Middle
2201400013435,Middle
220140001344A,Highest
2201400013454,Upper Class
2201400013469,Upper Class
2201400013473,Highest
2201400013488,Upper Class
2201400013492,Upper Class
220140001351A,Upper lower
2201400013562,Middle
2201400013577,Upper lower
2201400013628,Upper Middle
2201400013581,Upper lower
2201400013596,Upper Class
2201400013609,Lower
2201400013647,Lower Middle
2201400013651,Middle
2201400013666,Upper Class
2201400013670,Upper Class
2201400013789,Lower
2201400013793,Middle
2201400013806,Upper Class
2201400013810,Middle
2201400013825,Lower Middle
220140001383A,Highest
2201400013859,Middle
2201400013882,Lower Middle
2201400013897,Lower Middle
220140001390A,Lower
2201400013929,Lower
2201400013933,Lower
2201400013948,Lower Middle
2201400013952,Upper Class
2201400322475,Lower
220140051262A,Lower
2201400583717,Upper Class
2201400583721,Upper Class
220140108312A,Precarious
2201400583736,Upper lower
2201400583740,Upper Class
2201400583878,Upper Class
2201400923064,Lower
220140058376A,Upper Class
2201400583774,Upper Middle
2201400691602,Lower
2201400853967,Lower
2201400752634,Precarious
2201400923079,Lower
2201401013238,Lower
2201401013242,Lower
2201401013257,Lower
2201401013261,Lower
2201401013276,Lower
2201401013280,Lower
220140101369A,Precarious
2201401053098,Lower
2201401033702,Precarious
2201401053083,Lower Middle
2201401083149,Precarious
2201401053100,Lower
2201401053558,Lower
2201401071462,Lower
2201401073539,Lower Middle
2201401073543,Lower
2201401081335,Lower
2201401082494,Upper lower
2201401082511,Lower
2201401082526,Upper lower
2201401083134,Lower Middle
2201401083153,Lower Middle
2201401083168,Upper lower
2201401083312,Lower
2201401103223,Lower
2201402363990,Lower
2201401142530,Lower
2201401142545,Upper lower
2201402363971,Lower
220140108312A,Precarious